4to 05096820-a:0
keftab 02996249-n:0
keg 03610418-n:0
kekule_formula 14774894-n:0
keratoacanthoma 14239097-n:0
kerb 03148920-n:0
kerion 14125881-n:0
kernel 13137010-n:0
ketoacidosis-resistant_diabetes 14118936-n:0
ketoacidosis-resistant_diabetes_mellitus 14118936-n:0
ketosis-resistant_diabetes 14118936-n:0
ketosis-resistant_diabetes_mellitus 14118936-n:0
kettle 03612814-n:1
key 03613294-n:14 08590909-n:0 04586581-n:0
keyhole 03614782-n:2
khat 03608870-n:0
kidnap 01471043-v:3
kidney_bean 07727048-n:0
kill 01323958-v:103
killing_field 08690479-n:0
kindle 01759326-v:0
king_begonia 12361946-n:0
kingfisher 01827403-n:0
kingwood 12523319-n:0
kipp's_apparatus 03618797-n:0
kirtle 03619275-n:0
kitchen_match 03620730-n:0
kitchen_utensil 03621049-n:0
kitsch 03621935-n:0
kitty_litter 14813957-n:0
kleenex 14928008-n:1
klondike 00495774-n:0
knit 03625355-n:1
knitter 10239619-n:0
knitting_machine 03625539-n:0
knock 01238640-v:7
knock_back 02702674-v:0
knock_over 01909978-v:2
knocker 03626760-n:0
knockout_drops 03627021-n:0
knot 03627232-n:2 15102712-n:1 04948905-n:0 01673732-v:1
knothole 15102894-n:0
knowing 01338116-a:0
koto 03628215-n:0
kr 14642916-n:0
kraal 08673131-n:0
krypton 14642916-n:0
kurta 03629231-n:0
l-plate 03694761-n:0
la 14643118-n:0
label 07272172-n:1 01588493-v:3
labial_pipe 03369011-n:0
lace 03631445-n:0 01674717-v:0 01521603-v:0
lace_making 00909672-n:0
lace_up 01521603-v:0
lacer 10242439-n:0
lacewood 12807082-n:0
lacing 03631445-n:0
lacquerware 03631922-n:0
lad's_love 11929477-n:0
lade 01489989-v:0
laden 01489989-v:0
ladle 01578993-v:0
lady's_earrings 12684379-n:0
lady_beetle 02165456-n:0
ladybeetle 02165456-n:0
ladybird 02165456-n:0
ladybird_beetle 02165456-n:0
ladybug 02165456-n:0
lag 04307269-n:0 02494356-v:0
lagan 03633474-n:0
lagend 03633474-n:0
lager 07887634-n:0
lager_beer 07887634-n:0
lagerstroemia 12329020-n:0
lagerstroemia_indica 12329260-n:0
laid_up 02545484-a:1
lake 09328904-n:3
lamaze_method 13506119-n:0
lamaze_method_of_childbirth 13506119-n:0
laminate 03635668-n:0 01365131-v:0
lampoon 06780309-n:0
lance 03637618-n:0
lancet 03637618-n:0
lancewood 11696606-n:0
land 01981036-v:4
landing_craft 03638623-n:0
langouste 07793260-n:0
laniard 03641569-n:0
lanthanum 14643118-n:0
lanugo 05255939-n:0
lanyard 03641569-n:0
lap_choly 00669262-n:0
lap_joint 03642573-n:0
laparoscopic_cholecystectomy 00669262-n:0
laparoscopy 00683012-n:0
lappet 03642716-n:0
larch 11619136-n:0
large 05096191-n:0 01382086-a:139
largeness 04788982-n:0
largess 13265749-n:0
largesse 13265749-n:0
larva 02311060-n:6
laryngectomy 00683214-n:0
lasix 03406597-n:0
latch 03644858-n:0
latch_on 00590366-v:0
latchet 03645168-n:0
latchstring 03645411-n:0
lath 03646148-n:0
lathe 03646296-n:0
lather 00036932-v:0
lattice 04582454-n:0 03646916-n:0
latticework 03646916-n:0
laundry 03648219-n:1
laurel_and_hardy 08181375-n:0
lavandula_stoechas 12850168-n:0
lavation 00255710-n:0
lavender 12849717-n:0
law-breaking 00766234-n:1
lawlessness 13973059-n:0
lay 01494310-v:24 01544692-v:11 01545079-v:4
lay-up 00111660-n:0
lay_down 00665476-v:8
lay_out 01474209-v:7
lay_over 01469263-v:1
layer 03650173-n:8 06246896-n:0 01262113-v:3
layer_cake 07633369-n:0
layup 00111660-n:0
lazy_susan 04501837-n:0
leaflet 06413889-n:0
leafy_liverwort 11543105-n:0
leak 07436661-n:0
leakage 07436661-n:1
leaky 01397385-a:0
lean 01606574-v:6
lean-to_tent 03652826-n:0
learn 00598954-v:53 00920336-v:0
least 01556061-a:2
leather 14759722-n:11
leave 00613683-v:63 02356230-v:8
leech_onto 01357141-v:0
leg 05560787-n:75 13913849-n:1
leg_covering 03655072-n:0
legging 03655072-n:0
leging 03655072-n:0
legislative 02829422-a:3
legume 11748002-n:0
leiomyoma 14249384-n:0
leitneriaceae 11742531-n:0
lemaireocereus 11848610-n:0
lemon_drop 07599242-n:0
lemon_juice 07925229-n:0
lemonade_mix 07594155-n:0
lemonwood 12670013-n:0
length 03656231-n:0
lens_implant 03657239-n:0
leonberg 02111129-n:0
leopard 02128385-n:0
leotard 03657511-n:0
leper_lily 12453186-n:0
lepidium_alpina 11893916-n:0
lepidobotryaceae 12701178-n:0
lepidothamnus 11656380-n:0
leptoptilus_crumeniferus 02003204-n:0
lescol 03372656-n:0
lesser_omentum 05429840-n:0
let 02423183-v:219
letter 06828818-n:7 10255207-n:0
letter_box 03990210-n:0
letter_of_the_alphabet 06828818-n:0
letter_paper 06258852-n:0
level 06246896-n:0
leveraged_buyout 00175174-n:0
lexicalisation 13507472-n:0
lexicalization 13507472-n:0
liable 01411919-a:4
liaison 13931889-n:1
liana 13120211-n:0
liatris 11991080-n:0
libertine 10257647-n:1
licence 13994806-n:0
license 13994806-n:3 01139194-n:0
lichen_planus 14229604-n:0
lichen_ruber_planus 14229604-n:0
lid 03661340-n:0 03497657-n:0
lie 02690708-v:88
lift_bridge 03233744-n:0
ligamentum_teres_uteri 05295740-n:0
ligan 03633474-n:0
light 02337329-a:0 02759614-v:2
light-haired 00243606-a:1
light_bread 07687211-n:0
light_bulb 03665924-n:2
lightbulb 03665924-n:0
lightning_conductor 03668067-n:0
lightning_rod 03668067-n:0
ligne 13652203-n:0
lignin 14935319-n:0
lignum_vitae 12722382-n:0
like 01409581-a:30
likewise 00138060-r:8
lilac 12310349-n:3
liliid_monocot_family 11556187-n:0
liliid_monocot_genus 11561228-n:0
lily_of_the_valley 12471544-n:0
limb 03668906-n:0
limb-girdle_muscular_dystrophy 14162563-n:0
limber 01603620-v:0
limber_up 01603620-v:0
lime_juice 07925327-n:0
limit 00233335-v:23
limnodium_spongia 12614096-n:0
limo 03670208-n:0
limousine 03670208-n:0
limpet 01948573-n:0
linden 12203331-n:1
line 07012979-n:0 01582645-v:0
line_of_duty 01132590-n:0
line_score 06468523-n:0
liner 03673270-n:0
lining 03673270-n:0 00827240-n:0
link 04042795-n:0
linkage_editor 06576376-n:0
linnaea_borealis 12673328-n:0
linocut 03674946-n:0
liparis 12070381-n:0
liquefied_petroleum_gas 14878483-n:0
liqueur 07907943-n:0
liquid 14940386-n:6 14940100-n:4
liquid_air 14940856-n:3
liquidator 10265532-n:0
lisle 03677540-n:0
lisle_thread 03677540-n:0
list 00945853-v:23
listera 12070950-n:0
listing 01011166-n:0
lithograph 01749394-v:0
litter-basket 03678558-n:0
litter_basket 03678558-n:0
litterbin 03678558-n:0
little 01391351-a:163
littleneck 07787108-n:0
littleneck_clam 07787108-n:0
live-bearer 01448951-n:0
live_together 02651193-v:0
liver_cancer 14131651-n:0
living_rock 11843896-n:0
lizard 01674464-n:1
load 01489989-v:8 01612084-v:0
load_up 01489989-v:1
loaf 07683786-n:3
loaf_of_bread 07683786-n:1
loan 13398953-n:19
loan_approval 01141366-n:0
lobar_pneumonia 14148646-n:0
lobe 05493303-n:6
lobster_plant 12920204-n:0
lobster_tail 07793685-n:0
lobster_thermidor 07870894-n:0
lobularia_maritima 11891175-n:0
locating 01051331-n:0
location 00027167-n:992 01051331-n:2
lock 03682487-n:6 01347678-v:1
lock_away 01347678-v:0
lock_in 01347678-v:1
lock_up 01347678-v:3
lockbox 04125257-n:0
lockdown 01146993-n:0
locker 02933462-n:4 03380301-n:0
locket 03683995-n:0
locomote 01835496-v:0
locust 12495396-n:0
lodge 03685640-n:0
log 14942762-n:7
log_line 03687448-n:0
logwood 12497322-n:0
loincloth 02896294-n:0
lomariopsidaceae 13202749-n:0
long-horned_beetle 02168699-n:0
long-neck_clam 07787429-n:0
long_pepper 12900987-n:0
long_pillow 02865509-n:0
long_sleeve 03688405-n:0
longbow 03687928-n:0
longicorn 02168699-n:0
longicorn_beetle 02168699-n:0
looking_glass 03688832-n:0
loop 03132438-n:1 13875571-n:0 01673472-v:1 01286290-v:0
loop_knot 03689570-n:0
loophole 03689443-n:1
loose 00419137-v:0
loosen 00419137-v:0
lophius_americanus 02548247-n:0
lorisidae 02498355-n:0
lorry 03690473-n:0
lose 01503101-v:7
lotte 02548247-n:0
loudness 04990220-n:0
lounging_jacket 03692136-n:0
loupe 03692522-n:0
louse 02183857-n:2
louver 03692676-n:0
louvre 03692676-n:0
lovebird 01821869-n:0
loved_one 09622928-n:0
loving_cup 03693707-n:0
low 01055018-v:0
low-cut 01209210-a:0
low-necked 01209210-a:0
low-rise 01218797-a:0
lowball 00673766-v:0
lu 14644063-n:0
lubber's_hole 03694949-n:0
lube 14890659-n:0
lubricant 14890659-n:0
lubricate 00219012-v:0
lubricating_substance 14890659-n:0
lubricator 14890659-n:0
lucifer 09359471-n:0 03728437-n:0
lucubrate 00955601-v:0
lumber 14943580-n:6
lunar_time_period 15275727-n:0
lunch_meeting 08385849-n:0
luncheon_meeting 08385849-n:0
lunette 03697665-n:0
lupin 12546183-n:0
lupine 12546183-n:0
lute 14706214-n:0 03698360-n:0
lutecium 14644063-n:0
lutetium 14644063-n:0
luting 14706214-n:0
lycaena 02281987-n:0
lycaenidae 02281552-n:0
lycee 08284481-n:0
lyceum 08284481-n:0
lychins_floscuculi 11811706-n:0
lychnis_flos-cuculi 11811706-n:0
lycium_carolinianum 12905412-n:0
lygaeid 02238887-n:0
lygaeid_bug 02238887-n:0
lymph_cell 05451384-n:0
lymphadenopathy 14241825-n:0
lymphangiogram 03698977-n:0
lymphedema 14120614-n:0
lymphocyte 05451384-n:1
lymphoma 14241968-n:0
lynx 02127052-n:0
lysimachia 12094786-n:0
lyssa 14271667-n:0
macaroon 07636534-n:0
macerate 00398484-v:0
maceration 05001867-n:0
machination 05908520-n:0
machine 03699975-n:33 03700963-n:1 02958343-n:0
machine_screw 03701790-n:0
machine_stitch 03702067-n:0
macintosh 03703590-n:0
mackerel 07781319-n:0
mackintosh 03703590-n:0
macon 07896661-n:0
maconnais 07896661-n:0
macrame 03703730-n:0 01670901-v:0
macrocephalon 01802033-n:0
macrocephalon_maleo 01802159-n:0
macron 06823440-n:0
macula 05244934-n:0
macule 05244934-n:0
mad_apple 12896000-n:0
madagascar_periwinkle 11772408-n:0
madness 14271667-n:0
maelstrom 07433145-n:0
maggot 02312175-n:2
magi 08486538-n:0
magisterial 00787595-a:0
magnetic_moment 11483829-n:1
magnetic_recorder 03707597-n:0
magnetic_stripe 03707766-n:0
magnifying_glass 03484931-n:1
magnoliopsid_family 11562747-n:0
magnoliopsid_genus 11567411-n:0
maguey 12477747-n:0
mahogany 12695572-n:2
mail_slot 03710819-n:0
mainsheet 04188368-n:0
maintain 02681795-v:41
maisonette 03713254-n:0
maisonnette 03713254-n:0
majorana 12852930-n:0
make 01617192-v:243 01645601-v:78 01621555-v:52 00730758-v:33 01640207-v:16 01619014-v:14 02621395-v:12 01653873-v:9 01654628-v:5 02020590-v:4 00665476-v:4 00276068-v:2 00074038-v:1
make_a_point 02595234-v:0
make_for 01629589-v:13
make_off 02073714-v:0
make_over 01619725-v:1
make_sure 02595234-v:5
make_up 01634424-v:1 00276068-v:1
maker 10284064-n:8
makeshift 01757211-a:1
making 00923995-n:7 03714899-n:0
makomako 12193665-n:0
malacca 03715275-n:0
malacca_cane 03715275-n:0
malachite 14680661-n:0
malcolmia 11891838-n:0
male_plug 03968293-n:0
malediction 07233996-n:1
maleo 01802159-n:0
malfunction 07318476-n:0
malignant_melanoma 14252564-n:0
mall 03965456-n:0
mallet 03715386-n:0
malleus 05325943-n:0
malnourishment 14040490-n:0
malocclusion 14060929-n:0
malt 07888909-n:0
malus_baccata 12634734-n:0
malvasia 13147689-n:0
mandala 03716656-n:0
mandolin 03716966-n:0
manger 03717131-n:0
mangrove_family 12345495-n:0
manhole 03717447-n:0
manhole_cover 03717622-n:0
manifest 06501918-n:0
manifestation 01177703-n:0
manifold 14946750-n:0
manifold_paper 14946750-n:0
manipulate 01803936-v:0
manner 04928903-n:49
manta 01500091-n:0
manta_ray 01500091-n:0
mantle 03151077-n:0 02955767-n:0
mantra 07152590-n:0
manufacture 00923444-n:2 00924825-n:0 01634424-v:1 01758696-v:0
manufacturing 00924825-n:2
manure 14863521-n:4
manus 05564590-n:0
map 01687876-v:3 00710606-v:1
maple 12752666-n:2
mapmaking 00924579-n:0
marabou 02003204-n:0 01897851-n:0
marabou_stork 02003204-n:0
marabout 02003204-n:0
marantaceae 12351287-n:0
marcel 05259991-n:0 00039385-v:0
marchantiaceae 11543602-n:0
marguerite 11925898-n:0
marguerite_daisy 11925898-n:0
marihuana 02949691-n:0
marijuana 02949691-n:0
marine_mussel 01964049-n:0
mark 05737153-n:5 06798750-n:2 04676064-n:2 01588493-v:13 00508032-v:5 01275762-v:0 01004062-v:0 00662182-v:0
mark_of_cain 04828126-n:0
mark_off 00662182-v:0
marker 03722007-n:0
market_town 08672073-n:0
marking 00263642-n:0
markup 06787602-n:0
marline 03722552-n:0
marrowfat_pea 07725663-n:0
marsh 09347779-n:1
marshal 01988325-v:1
marshland 09347779-n:0
martial_art 00825443-n:0
martial_law 08454818-n:0
martyr_operation 00731756-n:0
marxism 06215618-n:0
mary_queen_of_scots 11162206-n:0
mary_stuart 11162206-n:0
masculinisation 13511755-n:0
masculinization 13511755-n:0
masdevallia 12072722-n:0
mask 03724870-n:1 01358328-v:1
masonry 03725717-n:2
mast 03726760-n:3
master 03727274-n:1
master_bedroom 03727465-n:2
master_copy 03727274-n:0
mastering 00910856-n:0
masthead 06493158-n:0 06344846-n:0
mastigophoran 01416585-n:0
mastigophore 01416585-n:0
mat 03728131-n:0
match 03728437-n:4 03728982-n:1
matching 01486704-a:1
matchlock 03729482-n:0
matchstick 03729826-n:0
matchwood 14949075-n:0 14948983-n:0
mate 12757668-n:0 01114475-v:0
material 14580897-n:73 03309808-n:7 03729951-n:5
matron 10303037-n:1
matthew_walker 03730788-n:0
matthew_walker_knot 03730788-n:0
matting 03730893-n:1
mature-onset_diabetes 14118936-n:0
maturity-onset_diabetes 14118936-n:0
maturity-onset_diabetes_mellitus 14118936-n:0
matzah_ball 07701912-n:0
matzah_meal 07568389-n:0
matzo_ball 07701912-n:0
matzo_meal 07568389-n:0
matzoh_ball 07701912-n:0
matzoh_meal 07568389-n:0
maunder 01044533-v:0
mausoleum 03732114-n:1
maverick 02404028-n:0
may_beetle 02172870-n:0
may_bug 02172870-n:0
may_lily 12471544-n:0
mayfly 02262449-n:0
meadow_beauty 12350032-n:0
meanness 04845684-n:1
measure 03735637-n:0
measured 01337939-a:0
measuring_rod 03735637-n:0
measuring_stick 03735637-n:0
meat 13137010-n:0
mechanisation 00102457-n:0
mechanization 00102457-n:0
mecoptera 02161944-n:0
medevac 00055038-n:0
medical_evacuation 00055038-n:0
meditation 05786184-n:0
mediterranean_anchovy 02534165-n:0
medivac 00055038-n:0
meet 01205696-v:1
megalopolis 08537708-n:1
megapode 01801088-n:0
melaena 14855280-n:0
melancholy_thistle 11954798-n:0
melanogrammus_aeglefinus 02523877-n:0
melanoma 14252564-n:0
melchior 11172181-n:0
melena 14855280-n:0
melody_pipe 03006626-n:0
melopsittacus_undulatus 01821869-n:0
melt 00444629-v:3
melt_down 00444629-v:0
membranophone 03249569-n:0
mend 03745285-n:0
mendacious 02462089-a:0
mending 03745487-n:0
meniere's_disease 14078421-n:0
meningioma 14239743-n:0
meningitis 14137829-n:0
mental_block 05645199-n:0
meow 07386614-n:0
mercury_program 05900010-n:0
mesentery 05429195-n:0
mesothelioma 14251435-n:0
mess 00276214-v:0
mess_up 00276214-v:0
message 06253690-n:20
metal 14625458-n:21 14586769-n:0 01527420-a:5
metal_screw 03752185-n:0
metal_wood 03752398-n:0
metallic 01527420-a:3
metallic_element 14625458-n:0
metalwork 00925732-n:0
metalworking 00925732-n:0
metamorphopsia 14554695-n:0
metaphoric 01419784-a:0
metaphorical 01419784-a:0
metasequoia 11640132-n:0
metasequoia_glyptostrodoides 11640132-n:0
metazoa 01908703-n:0
meterstick 03753514-n:0
method 05660268-n:95
metrestick 03753514-n:0
metro 03757138-n:1
metrorrhagia 14370825-n:0
mew 07386614-n:0
mexican_flameleaf 12920204-n:0
mezuza 06433672-n:0
mezuzah 06433672-n:0
miaou 07386614-n:0
miaow 07386614-n:0
miaul 07386614-n:0
michigan 00493308-n:0
miconazole 03758720-n:0
micrococcaceae 01378800-n:0
microsorium 13176523-n:0
mid-atlantic 00827327-a:0
middle 08523483-n:10 05555473-n:2 01498498-v:0
middle_atlantic 00827327-a:1
middle_school 08284481-n:0
midriff 05555473-n:0
midsection 05555473-n:1
migration 07312616-n:0
mildew 13077295-n:0
milfoil 11916696-n:0
military_campaign 00968155-n:0
milk_chocolate 07604307-n:0
milldam 03765934-n:0
million 13776432-n:0
mimosa 11754893-n:0
mimosaceae 11753936-n:0
mind_reader 10319580-n:0
minder 10319313-n:0 09829122-n:0
mine 03768346-n:12
minefield 08507255-n:0
minelayer 03768823-n:0
mineshaft 03768916-n:0
miniaturisation 00360601-n:0
miniaturization 00360601-n:0
mining 00922327-n:3
minivan 03770679-n:0
mint 01639105-v:0
minute_gun 03772417-n:0
misaddress 00991025-v:0
misally 02430421-v:0
mischief-maker 10731244-n:0
mischievous 01162633-a:0
misconstrual 07174877-n:0
misconstruction 07174877-n:1
miscreate 00701576-v:0
miscue 00073828-n:0
misdirect 00991025-v:0
mislaid 01449884-a:0
mislay 01503101-v:1
misleader 10322391-n:0
misleading 01224253-a:4
misplace 01503101-v:1 01501793-v:1
misplaced 01682073-a:5 01449884-a:0
missouri_goldenrod 12016777-n:0
mitella_diphylla 12800832-n:0
miter 03774461-n:0 03774124-n:0 01584199-v:1
miter_box 03774327-n:0
miter_joint 03774461-n:0
mitra 09527291-n:0
mitre 03774461-n:0 03774124-n:0
mitre_box 03774327-n:0
mitre_joint 03774461-n:0
mitt 05564590-n:0
mittelschmerz 05724965-n:0
mix 01418667-v:0
mixture 14586258-n:11
moat 03776050-n:0
moated 01885757-a:0
mockery 06780309-n:0
mode 04928903-n:13
model 00898804-n:0 01743784-v:1 01722980-v:0
modeling 00898804-n:0
modelling 00898804-n:0
modification 00199707-n:2
molar_pregnancy 14192942-n:0
mold 13913566-n:1 03779370-n:1 01659248-v:0
molehill 09357346-n:0
mollusc 01940736-n:0
mollusk 01940736-n:0
moment_of_a_magnet 11483829-n:0
monarch 10628644-n:2
monarchy 08363812-n:0
monasticism 04882214-n:0
monetarism 05995898-n:0
money_box 04139859-n:0
monistat 03758720-n:0
monkey 01586018-v:0
monkey_nut 07737745-n:0
monkfish 02548247-n:0
monoblast 05453412-n:0
monochamus 02168876-n:0
monody 07024705-n:0
monogram 06824041-n:0
monologue 07011387-n:0
monophonic_music 07024705-n:0
monophony 07024705-n:0
monosemy 04820908-n:0
monster 09491966-n:5 01460108-n:0
monstrance 03784270-n:0
moo 07386821-n:0 01055018-v:1
moonlight 02420606-v:0
moonlighter 10330593-n:0
moonshiner 09866922-n:0
moor 09358751-n:0
moorland 09358751-n:0
moppet 10330835-n:0
morchella_angusticeps 13033577-n:0
morchella_conica 13033577-n:0
morchella_semilibera 13034062-n:0
more_often_than_not 00155621-r:2
morning-after_pill 03785843-n:0
morning_star 09359471-n:0
mortal 00007846-n:2
mortgage-backed_security 13340244-n:0
mortgage_loan 13400334-n:0
mortice 03787308-n:0 01293782-v:0 01293644-v:0
mortise 03787308-n:0 01293782-v:0 01293644-v:0
mortise-and-tenon_joint 03787523-n:0
mortise_joint 03787523-n:0
mosque 03788195-n:0
moss_animal 02313709-n:0
most 01555732-a:26
mostly 00155621-r:3
moth_orchid 12076577-n:0
moth_plant 12076577-n:0
mothball 02281641-v:0
mother 00054628-v:0
mother_cell 11688750-n:0
mother_figure 10333044-n:0
motility 00331950-n:0
motion 07309781-n:7 00331950-n:6
motion-picture_photography 00907919-n:0
motley 03789794-n:0 00398978-a:0
motor_horn 02761834-n:0
motorcar 02958343-n:1
mould 13913566-n:0 03779370-n:0 01659248-v:0
mound 07961480-n:1 03792048-n:0
mound-bird 01801088-n:0
mound_bird 01801088-n:0
mound_builder 01801088-n:0
mount 01921964-v:3
mountain_climber 10334567-n:0
mountaineer 10334567-n:0
mounted 00159267-a:2
mouse 02330245-n:14
mouth 05302499-n:48 03794392-n:0
mouth_harp 03494278-n:0
mouth_hole 03794540-n:0
mouth_organ 03494278-n:0
movable_barrier 03795580-n:0
move 00331950-n:1 01835496-v:110 01850315-v:57
move_over 01848465-v:2
movement 00331950-n:24 07309781-n:14
movie_projector 03795976-n:0
moving 01565396-a:0
mud_dauber 02216365-n:0
mud_puppy 01632777-n:0
mug 03797390-n:0
mug_shot 03797548-n:0
mugger 10337300-n:0
mugshot 03797548-n:0
mulberry 07767171-n:0
mule 02390101-n:3
mullein 12888906-n:0
muller 03919430-n:0
mullioned 02482159-a:0
multi-color 00398978-a:0
multi-colored 00398978-a:0
multi-colour 00398978-a:0
multi-coloured 00398978-a:0
multichannel_recorder 03798442-n:1
multicolor 00398978-a:0
multicolored 00398978-a:0
multicolour 00398978-a:0
multicoloured 00398978-a:0
multiply 00055142-v:0
mumble 01044533-v:6
mundane 01674242-a:2
murder 02482425-v:5
murmuring 01456038-a:0
mushroom_coral 01917882-n:0
music_stool 03801880-n:0
musical_composition 07037465-n:1
musical_note 06865345-n:0
musical_scale 06856568-n:0
musket 03802007-n:9
mussel 07783550-n:0 01963571-n:0
mussitate 01044533-v:0
mustela_vison 02443015-n:0
mute_swan 01859190-n:0
mutter 01044533-v:19
mutual_inductance 13587236-n:0
muzzle 03469687-n:2 03410740-n:0
myeloblast 05448704-n:0
myelocyte 05448597-n:0
myelography 00906470-n:0
myeloma 14248256-n:0
myiasis 14453840-n:0
myocardiopathy 14110966-n:0
myosis 14330340-n:0
myotactic_reflex 00867606-n:0
myriophyllum 12326842-n:0
myrtle 11778092-n:1
mystery 06370792-n:0
mystery_story 06370792-n:9
mytilid 01964049-n:0
mytilus_edulis 01964271-n:0
myxomatosis 14274701-n:0
n 14647235-n:0
naan 07684289-n:0
nafcil 03804493-n:0
nafcillin 03804493-n:0
nail 03804744-n:3
nail_down 00481941-v:0
nail_hole 03805634-n:0
nailrod 12155773-n:0
naive 01912858-a:0
name 01028748-v:31 02396205-v:4 00945853-v:0
nammad 03835729-n:0
nan 07684289-n:0
nap 00858377-n:0 00493742-n:0
napkin 03188531-n:0
napoleon 00493742-n:0
nappy 03188531-n:0
narrowhead_morel 13033577-n:0
natural_gas 14960090-n:1
natural_history 05794189-n:0
natural_object 00019128-n:0
nature_study 05797899-n:0
navel 05556595-n:2
navel-gazing 05787848-n:0
navigability 04719661-n:0
navigation 00314469-n:0
navy_bean 07727140-n:0
navy_man 09861395-n:0
ne 14646152-n:0
neaten 00275843-v:0
nebraska_fern 12935609-n:0
necessitate 02627934-v:12
neck 05546540-n:34 03814112-n:0
neck_opening 03814112-n:0
neckband 03814528-n:0 03068181-n:0
necklace_tree 12553573-n:0
neckline 03815278-n:0
neckwear 03816005-n:0
necrology 06748133-n:0
nectarine 12648196-n:0
nectarine_tree 12648196-n:0
need 02627934-v:110
needle 03816136-n:1 03923918-n:0 01331027-v:0
needlepoint 03975788-n:0
neigh 07387316-n:0
nelfinavir 03817830-n:0
neon 14646152-n:0
neonatal_hyperbilirubinemia 14319093-n:0
nephralgia 14329159-n:0
nephroangiosclerosis 14113938-n:0
nephrosclerosis 14113938-n:0
nephrosis 14307724-n:0
nephrotic_syndrome 14307724-n:0
nephrotomy 00698234-n:0
nerita 01946630-n:0
nerve_entrapment 14109691-n:0
nervus_spinalis 05569053-n:0
nest 03819336-n:0 02654947-v:4
nest_egg 13359572-n:0
nestle 01425348-v:0
nettle_rash 14322248-n:0
network_architecture 06725680-n:0
neurinoma 14248787-n:0
neuroblastoma 14248899-n:0
neutral_spirits 07902121-n:0
nevertheless 00027384-r:28
nevoid_elephantiasis 14367797-n:0
new 01640850-a:310
new-made 01068513-a:0
new_england_boiled_dinner 07862946-n:0
new_look 05750471-n:0
new_style_calendar 15174218-n:0
new_world_monkey 02489589-n:0
new_zealand_wine_berry 12193665-n:0
newfoundland 02111277-n:1
newfoundland_dog 02111277-n:0
newmarket 00493308-n:0
news_magazine 06596474-n:0
newspeak 00926277-n:0
newt 01630284-n:0
ngu 14566996-n:0
niche 04061969-n:1
nick 04693384-n:0
nicker 07387316-n:0
nicker_nut 11689197-n:0
nicker_seed 11689197-n:0
niddm 14118936-n:0
night_terror 07290503-n:0
nightclothes 03825080-n:0
nightwear 03825080-n:0
nit 01461146-n:0
nitrobacteriaceae 01361973-n:0
nitrogen 14647235-n:5
nitta_tree 11763625-n:0
no_man's_land 13249805-n:0 04825815-n:0
nobble 01471043-v:0
nock 01275762-v:0
noctuid 02295064-n:0
noctuid_moth 02295064-n:0
nocturnal_emission 13522611-n:0
nodule 09371941-n:0
nog 03905540-n:0
noiseless 01919282-a:0
noiselessness 04983013-n:0
noisemaker 03827536-n:2
nominate 02396205-v:0
nominating_address 07240925-n:0
nominating_speech 07240925-n:0
nomination 07240925-n:0
non-insulin-dependent_diabetes 14118936-n:0
non-insulin-dependent_diabetes_mellitus 14118936-n:0
noncallable_bond 13338780-n:0
nonetheless 00027384-r:4
nongonococcal_urethritis 14566996-n:0
noninvasive 01356515-a:0
nonporous 00329695-a:0
nonrhythmic 02021332-a:0
nonsense_verse 06608035-n:0
nonspecific 01105620-a:19
noose 01673630-v:0
noria 03829954-n:0
normal 01593649-a:77
normally 00106921-r:20
northern_woodsia 13202355-n:0
nose_cone 03831537-n:0
nosegay 02879087-n:0
notation 06763273-n:0
notch 01276970-v:3
note 06865345-n:4 06763273-n:1
nothofagus_menziesii 12266984-n:0
notice 07212612-n:1
notion 05916739-n:14
notorious 01984411-a:5
notwithstanding 00027384-r:1
noughts_and_crosses 00506207-n:0
novation 00196848-n:0
novel 06367879-n:17
nrti 03834836-n:0
nucleoside_reverse_transcriptase_inhibitor 03834836-n:0
nudibranchia 01950457-n:0
number 02731632-v:0 00235918-v:0
number_one 09605110-n:1
number_one_wood 03244047-n:0
numdah 03835729-n:0
numdah_rug 03835729-n:0
nurse 10366966-n:2
nurse_log 14964925-n:0
nut 13136556-n:2 03836191-n:1
nut_and_bolt 03836451-n:0
nutate 01876311-v:0
nux_vomica 03836699-n:0
nymph 09548632-n:1
o 14648100-n:3
oak 12268918-n:3
oarlock 03905730-n:0
oast_house 03837698-n:0
oath 07125096-n:15 07226841-n:0
oatmeal 07568502-n:0
obeche 12202234-n:0
obit 06748133-n:0
obituary 06748133-n:0
object 00002684-n:51
obligational 03137958-a:1
obscurantist 10369417-n:0
observance 00879759-n:1
observation 00879759-n:6
obsidian 14880960-n:1
obstruct 01476483-v:2
obtain 00522751-v:17
obturate 01476483-v:0
ocarina 03840681-n:0
occasional 01842468-a:2
occlude 01476483-v:1
occlusion 02853449-n:0
occupational_disease 14079493-n:0
occupational_safety_and_health_act 06535652-n:0
ocellus 04681621-n:0
ochronosis 14268439-n:0
ocotillo 12381931-n:0
octavo 05096408-n:0
oculopharyngeal_muscular_dystrophy 14163676-n:0
oculus 05311054-n:0
odontoglossum 12073991-n:0
oedogonium 01411871-n:0
oenothera 12344131-n:0
off 00193194-r:5 02482425-v:0
offence 00766234-n:0
offender 09633969-n:1
offense 00766234-n:1
offer 00787061-n:0
offset 06680570-n:0 01747085-v:0
offset_printing 06680570-n:0
ogive 03831537-n:0
oil 14980579-n:0
oil_production 00923130-n:0
oil_well 03845360-n:2
oiler 03845360-n:0
